underlying_return,ST,call_payoff,option_return,market,entry_date
-0.2,139.6,0.0,-1.0,2408.TW,2025-12-19
-0.19,141.345,0.0,-1.0,2408.TW,2025-12-19
-0.18000000000000002,143.09,0.0,-1.0,2408.TW,2025-12-19
-0.17,144.83499999999998,0.0,-1.0,2408.TW,2025-12-19
-0.16,146.57999999999998,0.0,-1.0,2408.TW,2025-12-19
-0.15000000000000002,148.325,0.0,-1.0,2408.TW,2025-12-19
-0.14,150.07,0.0,-1.0,2408.TW,2025-12-19
-0.13,151.815,0.0,-1.0,2408.TW,2025-12-19
-0.12000000000000001,153.56,0.0,-1.0,2408.TW,2025-12-19
-0.11000000000000001,155.305,0.0,-1.0,2408.TW,2025-12-19
-0.1,157.05,0.0,-1.0,2408.TW,2025-12-19
-0.09000000000000001,158.79500000000002,0.0,-1.0,2408.TW,2025-12-19
-0.08000000000000002,160.54,0.0,-1.0,2408.TW,2025-12-19
-0.07,162.285,0.0,-1.0,2408.TW,2025-12-19
-0.06,164.03,0.0,-1.0,2408.TW,2025-12-19
-0.05000000000000002,165.775,0.0,-1.0,2408.TW,2025-12-19
-0.04000000000000001,167.51999999999998,0.0,-1.0,2408.TW,2025-12-19
-0.03,169.265,0.0,-1.0,2408.TW,2025-12-19
-0.020000000000000018,171.01,0.0,-1.0,2408.TW,2025-12-19
-0.010000000000000009,172.755,0.0,-1.0,2408.TW,2025-12-19
0.0,174.5,0.0,-1.0,2408.TW,2025-12-19
0.009999999999999981,176.245,1.7450000000000045,-0.5507868746115258,2408.TW,2025-12-19
0.01999999999999999,177.99,3.490000000000009,-0.10157374922305153,2408.TW,2025-12-19
0.03,179.735,5.235000000000014,0.3476393761654227,2408.TW,2025-12-19
0.03999999999999998,181.48000000000002,6.980000000000018,0.796852501553897,2408.TW,2025-12-19
0.04999999999999999,183.225,8.724999999999994,1.2460656269423638,2408.TW,2025-12-19
0.06,184.97,10.469999999999999,1.6952787523308381,2408.TW,2025-12-19
0.07,186.715,12.215000000000003,2.1444918777193123,2408.TW,2025-12-19
0.08000000000000002,188.46,13.960000000000008,2.5937050031077864,2408.TW,2025-12-19
0.08999999999999997,190.20499999999998,15.704999999999984,3.0429181284962534,2408.TW,2025-12-19
0.09999999999999998,191.95000000000002,17.450000000000017,3.492131253884735,2408.TW,2025-12-19
0.10999999999999999,193.69499999999996,19.194999999999965,3.9413443792731946,2408.TW,2025-12-19
0.12,195.44000000000003,20.940000000000026,4.390557504661683,2408.TW,2025-12-19
0.13,197.18499999999997,22.684999999999974,4.839770630050143,2408.TW,2025-12-19
0.14,198.93000000000004,24.430000000000035,5.288983755438632,2408.TW,2025-12-19
0.15000000000000002,200.67499999999998,26.174999999999983,5.738196880827092,2408.TW,2025-12-19
0.15999999999999998,202.42,27.919999999999987,6.187410006215566,2408.TW,2025-12-19
0.16999999999999998,204.165,29.664999999999992,6.63662313160404,2408.TW,2025-12-19
0.18,205.91,31.409999999999997,7.085836256992514,2408.TW,2025-12-19
0.19,207.655,33.155,7.535049382380988,2408.TW,2025-12-19
0.2,209.4,34.900000000000006,7.984262507769463,2408.TW,2025-12-19
